Tools	Port 2: NDI 8700340  s/n:34802401	Frame	Face	State	Q0	Qx	Qy	Qz	Tx	Ty	Tz	Error	Markers	Stray Markers	Frame	Face	State	Q0	Qx	Qy	Qz	Tx	Ty	Tz	Error	Markers
2	Port 2: NDI 8700340  s/n:34802401	474395	1	OK	0.8030510	-0.1912572	-0.4503322	-0.3401921	77.554	-8.124	-1247.399	0.1023221	0	Stray Markers	474395	1	OK	1.0000000	0.0000000	0.0000000	0.0000000	0.000	0.000	0.000	0.0000000	1	OK	70.019	-17.433	-1235.407
2	Port 2: NDI 8700340  s/n:34802401	474398	1	OK	0.8033965	-0.1904949	-0.4500651	-0.3401575	77.485	-7.134	-1247.402	0.0974882	0	Stray Markers	474398	1	OK	1.0000000	0.0000000	0.0000000	0.0000000	0.000	0.000	0.000	0.0000000	1	OK	70.024	-17.354	-1235.130
2	Port 2: NDI 8700340  s/n:34802401	474401	1	OK	0.8032689	-0.1904108	-0.4501051	-0.3404529	77.425	-6.225	-1247.410	0.1022860	0	Stray Markers	474401	1	OK	1.0000000	0.0000000	0.0000000	0.0000000	0.000	0.000	0.000	0.0000000	1	OK	70.026	-17.369	-1235.110
2	Port 2: NDI 8700340  s/n:34802401	474404	1	OK	0.8030513	-0.1905113	-0.4502733	-0.3406875	77.331	-5.049	-1247.399	0.1000812	0	Stray Markers	474404	1	OK	1.0000000	0.0000000	0.0000000	0.0000000	0.000	0.000	0.000	0.0000000	1	OK	70.013	-17.295	-1235.551
2	Port 2: NDI 8700340  s/n:34802401	474407	1	OK	0.8021372	-0.1901842	-0.4511559	-0.3418541	77.285	-3.897	-1247.450	0.0985886	0	Stray Markers	474407	1	OK	1.0000000	0.0000000	0.0000000	0.0000000	0.000	0.000	0.000	0.0000000	1	OK	70.393	-18.097	-1241.041
2	Port 2: NDI 8700340  s/n:34802401	474410	1	OK	0.8018730	-0.1905387	-0.4511645	-0.3422648	77.177	-2.879	-1247.521	0.0974960	0	Stray Markers	474410	1	OK	1.0000000	0.0000000	0.0000000	0.0000000	0.000	0.000	0.000	0.0000000	1	OK	70.116	-17.085	-1237.296
2	Port 2: NDI 8700340  s/n:34802401	474413	1	OK	0.8015941	-0.1901737	-0.4512610	-0.3429932	77.121	-1.906	-1247.532	0.0925039	0	Stray Markers	474413	1	OK	1.0000000	0.0000000	0.0000000	0.0000000	0.000	0.000	0.000	0.0000000	1	OK	70.396	-18.219	-1240.739
2	Port 2: NDI 8700340  s/n:34802401	474416	1	OK	0.8015481	-0.1902179	-0.4514028	-0.3428898	77.087	-1.119	-1247.494	0.0956962	0	Stray Markers	474416	1	OK	1.0000000	0.0000000	0.0000000	0.0000000	0.000	0.000	0.000	0.0000000	1	OK	70.022	-17.193	-1236.107
2	Port 2: NDI 8700340  s/n:34802401	474419	1	OK	0.8012840	-0.1907300	-0.4513847	-0.3432461	77.052	-0.582	-1247.465	0.0978582	0	Stray Markers	474419	1	OK	1.0000000	0.0000000	0.0000000	0.0000000	0.000	0.000	0.000	0.0000000	1	OK	70.400	-18.199	-1240.825
2	Port 2: NDI 8700340  s/n:34802401	474422	1	OK	0.8015821	-0.1901058	-0.4509693	-0.3434422	76.918	0.440	-1247.554	0.0959641	0	Stray Markers	474422	1	OK	1.0000000	0.0000000	0.0000000	0.0000000	0.000	0.000	0.000	0.0000000	1	OK	70.404	-18.002	-1241.093
2	Port 2: NDI 8700340  s/n:34802401	474425	1	OK	0.8015668	-0.1892993	-0.4512379	-0.3435706	76.788	1.596	-1247.647	0.0981950	0	Stray Markers	474425	1	OK	1.0000000	0.0000000	0.0000000	0.0000000	0.000	0.000	0.000	0.0000000	1	OK	70.397	-18.402	-1239.886
2	Port 2: NDI 8700340  s/n:34802401	474428	1	OK	0.8008810	-0.1885731	-0.4523160	-0.3441512	76.678	2.880	-1247.678	0.1035594	0	Stray Markers	474428	1	OK	1.0000000	0.0000000	0.0000000	0.0000000	0.000	0.000	0.000	0.0000000	1	OK	70.384	-18.485	-1239.602
2	Port 2: NDI 8700340  s/n:34802401	474431	1	OK	0.8001905	-0.1883097	-0.4530149	-0.3449813	76.521	4.213	-1247.758	0.1040182	0	Stray Markers	474431	1	OK	1.0000000	0.0000000	0.0000000	0.0000000	0.000	0.000	0.000	0.0000000	1	OK	70.401	-18.441	-1239.892
2	Port 2: NDI 8700340  s/n:34802401	474434	1	OK	0.7998208	-0.1894024	-0.4530787	-0.3451567	76.466	5.227	-1247.773	0.1007394	0	Stray Markers	474434	1	OK	1.0000000	0.0000000	0.0000000	0.0000000	0.000	0.000	0.000	0.0000000	1	OK	70.303	-18.263	-1239.104
2	Port 2: NDI 8700340  s/n:34802401	474437	1	OK	0.8008665	-0.1915487	-0.4517188	-0.3433250	76.337	6.173	-1247.805	0.1077238	0	Stray Markers	474437	1	OK	1.0000000	0.0000000	0.0000000	0.0000000	0.000	0.000	0.000	0.0000000	1	OK	70.377	-18.505	-1239.541
2	Port 2: NDI 8700340  s/n:34802401	474440	1	OK	0.8017838	-0.1919165	-0.4507123	-0.3423000	76.270	7.247	-1247.848	0.1011500	0	Stray Markers	474440	1	OK	1.0000000	0.0000000	0.0000000	0.0000000	0.000	0.000	0.000	0.0000000	1	OK	70.375	-18.531	-1239.469
2	Port 2: NDI 8700340  s/n:34802401	474443	1	OK	0.8020231	-0.1912677	-0.4504000	-0.3425134	76.176	8.229	-1247.885	0.1053175	0	Stray Markers	474443	1	OK	1.0000000	0.0000000	0.0000000	0.0000000	0.000	0.000	0.000	0.0000000	1	OK	70.366	-18.586	-1239.184
2	Port 2: NDI 8700340  s/n:34802401	474446	1	OK	0.8019872	-0.1897341	-0.4505507	-0.3432515	76.122	9.395	-1247.924	0.0992367	0	Stray Markers	474446	1	OK	1.0000000	0.0000000	0.0000000	0.0000000	0.000	0.000	0.000	0.0000000	1	OK	70.367	-18.637	-1239.117
2	Port 2: NDI 8700340  s/n:34802401	474449	1	OK	0.8016895	-0.1892211	-0.4508753	-0.3438036	76.055	10.317	-1247.863	0.1031942	0	Stray Markers	474449	1	OK	1.0000000	0.0000000	0.0000000	0.0000000	0.000	0.000	0.000	0.0000000	1	OK	70.365	-18.636	-1239.177
2	Port 2: NDI 8700340  s/n:34802401	474452	1	OK	0.8018473	-0.1901515	-0.4504155	-0.3435245	75.996	11.038	-1247.890	0.1046742	0	Stray Markers	474452	1	OK	1.0000000	0.0000000	0.0000000	0.0000000	0.000	0.000	0.000	0.0000000	1	OK	70.051	-17.785	-1235.274
2	Port 2: NDI 8700340  s/n:34802401	474455	1	OK	0.8029181	-0.1905738	-0.4495672	-0.3418969	75.882	12.097	-1247.918	0.1033554	0	Stray Markers	474455	1	OK	1.0000000	0.0000000	0.0000000	0.0000000	0.000	0.000	0.000	0.0000000	1	OK	70.055	-17.815	-1235.215
2	Port 2: NDI 8700340  s/n:34802401	474458	1	OK	0.8033959	-0.1906269	-0.4492869	-0.3411124	75.832	13.074	-1247.948	0.0969128	0	Stray Markers	474458	1	OK	1.0000000	0.0000000	0.0000000	0.0000000	0.000	0.000	0.000	0.0000000	1	OK	70.050	-17.816	-1235.188
2	Port 2: NDI 8700340  s/n:34802401	474461	1	OK	0.8037230	-0.1917263	-0.4488083	-0.3403549	75.781	13.744	-1247.945	0.1037063	0	Stray Markers	474461	1	OK	1.0000000	0.0000000	0.0000000	0.0000000	0.000	0.000	0.000	0.0000000	1	OK	70.080	-18.125	-1236.087
2	Port 2: NDI 8700340  s/n:34802401	474464	1	OK	0.8037142	-0.1908420	-0.4491468	-0.3404262	75.729	14.754	-1247.919	0.1044768	0	Stray Markers	474464	1	OK	1.0000000	0.0000000	0.0000000	0.0000000	0.000	0.000	0.000	0.0000000	1	OK	69.970	-17.633	-1233.630
2	Port 2: NDI 8700340  s/n:34802401	474467	1	OK	0.8032174	-0.1889343	-0.4503165	-0.3411169	75.653	15.868	-1247.950	0.1069418	0	Stray Markers	474467	1	OK	1.0000000	0.0000000	0.0000000	0.0000000	0.000	0.000	0.000	0.0000000	1	OK	70.010	-17.848	-1234.627
2	Port 2: NDI 8700340  s/n:34802401	474470	1	OK	0.8029856	-0.1891563	-0.4506857	-0.3410519	75.590	16.599	-1247.979	0.1071044	0	Stray Markers	474470	1	OK	1.0000000	0.0000000	0.0000000	0.0000000	0.000	0.000	0.000	0.0000000	1	OK	70.008	-17.816	-1234.732
2	Port 2: NDI 8700340  s/n:34802401	474473	1	OK	0.8031985	-0.1895694	-0.4503203	-0.3408038	75.556	17.341	-1248.007	0.1043827	0	Stray Markers	474473	1	OK	1.0000000	0.0000000	0.0000000	0.0000000	0.000	0.000	0.000	0.0000000	1	OK	70.076	-18.137	-1236.010
2	Port 2: NDI 8700340  s/n:34802401	474476	1	OK	0.8035986	-0.1899277	-0.4498977	-0.3402186	75.512	18.133	-1247.959	0.1079040	0	Stray Markers	474476	1	OK	1.0000000	0.0000000	0.0000000	0.0000000	0.000	0.000	0.000	0.0000000	1	OK	69.967	-17.631	-1233.628
2	Port 2: NDI 8700340  s/n:34802401	474479	1	OK	0.8033287	-0.1893931	-0.4501596	-0.3408072	75.477	18.950	-1247.983	0.1090130	0	Stray Markers	474479	1	OK	1.0000000	0.0000000	0.0000000	0.0000000	0.000	0.000	0.000	0.0000000	1	OK	69.971	-17.677	-1233.484
2	Port 2: NDI 8700340  s/n:34802401	474482	1	OK	0.8032093	-0.1897118	-0.4501320	-0.3409478	75.399	19.630	-1248.053	0.1015792	0	Stray Markers	474482	1	OK	1.0000000	0.0000000	0.0000000	0.0000000	0.000	0.000	0.000	0.0000000	1	OK	70.087	-18.231	-1235.644
2	Port 2: NDI 8700340  s/n:34802401	474485	1	OK	0.8025494	-0.1903218	-0.4501678	-0.3421124	75.387	20.038	-1248.067	0.1056698	0	Stray Markers	474485	1	OK	1.0000000	0.0000000	0.0000000	0.0000000	0.000	0.000	0.000	0.0000000	1	OK	70.145	-18.442	-1236.557
2	Port 2: NDI 8700340  s/n:34802401	474488	1	OK	0.8027937	-0.1903476	-0.4498163	-0.3419873	75.326	20.885	-1248.090	0.1059835	0	Stray Markers	474488	1	OK	1.0000000	0.0000000	0.0000000	0.0000000	0.000	0.000	0.000	0.0000000	1	OK	69.977	-17.753	-1233.243
2	Port 2: NDI 8700340  s/n:34802401	474491	1	OK	0.8031797	-0.1904410	-0.4493446	-0.3416489	75.248	21.833	-1248.098	0.0971880	0	Stray Markers	474491	1	OK	1.0000000	0.0000000	0.0000000	0.0000000	0.000	0.000	0.000	0.0000000	1	OK	70.100	-18.153	-1234.945
2	Port 2: NDI 8700340  s/n:34802401	474494	1	OK	0.8030894	-0.1907075	-0.4492701	-0.3418105	75.205	22.638	-1248.111	0.1006143	0	Stray Markers	474494	1	OK	1.0000000	0.0000000	0.0000000	0.0000000	0.000	0.000	0.000	0.0000000	1	OK	69.994	-18.093	-1234.379
2	Port 2: NDI 8700340  s/n:34802401	474497	1	OK	0.8025684	-0.1911368	-0.4494283	-0.3425856	75.164	23.206	-1248.137	0.1023845	0	Stray Markers	474497	1	OK	1.0000000	0.0000000	0.0000000	0.0000000	0.000	0.000	0.000	0.0000000	1	OK	69.982	-17.815	-1233.028
